Manolo Gabbiadini,Southampton,25,CF,15.0,Italy
Sam McQueen,Southampton,22,LM,0.75,England
Matt Targett,Southampton,21,LB,3.0,England
Josh Sims,Southampton,20,RW,0.5,England
Jeremy Pied,Southampton,28,RM,3.5,France
Jason McCarthy,Southampton,21,CB,0.25,England
Jan Bednarek,Southampton,21,CB,0.5,Poland
Joe Allen,Stoke+City,27,CM,15.0,Wales
Marko ArnautoviÄ‡,Stoke+City,28,LW,15.0,England
Lee Grant,Stoke+City,34,GK,1.0,England
Erik Pieters,Stoke+City,28,LB,7.0,Netherlands
Steven Fletcher,Stoke+City,30,CF,3.0,Scotland
Ryan Shawcross,Stoke+City,29,CB,11.0,England
Xherdan Shaqiri,Stoke+City,25,RW,15.0,Switzerland
Peter Crouch,Stoke+City,36,CF,1.5,England
Glenn Whelan,Stoke+City,33,DM,2.5,Ireland
Charlie Adam,Stoke+City,31,CM,3.5,Scotland
Geoff Cameron,Stoke+City,32,CB,3.0,United States
Glen Johnson,Stoke+City,32,RB,5.0,England
Mame Biram Diouf,Stoke+City,29,CF,7.0,Senegal
Ramadan Sobhi,Stoke+City,20,LW,5.0,Egypt
Marc Muniesa,Stoke+City,25,CB,3.0,Spain
Bojan KrkiÄ‡,Stoke+City,26,SS,5.0,Spain
Phil Bardsley,Stoke+City,32,RB,1.5,Scotland
Saido Berahino,Stoke+City,23,CF,15.0,England
Giannelli Imbula,Stoke+City,24,DM,12.0,France
Jack Butland,Stoke+City,24,GK,15.0,England
Ibrahim Afellay,Stoke+City,31,LM,3.0,Netherlands
Josh Tymon,Stoke+City,18,LB,1.0,England
Gylfi Sigurdsson,Swansea,27,AM,25.0,Iceland
Fernando Llorente,Swansea,32,CF,6.0,Spain
Åukasz FabiaÅ„ski,Swansea,32,GK,9.0,Poland
Leroy Fer,Swansea,27,CM,8.0,Netherlands
Alfie Mawson,Swansea,23,CB,6.0,England
Kyle Naughton,Swansea,28,RB,5.0,England
Wayne Routledge,Swansea,32,LW,2.5,England
Federico Fernandez,Swansea,28,CB,9.0,Argentina
Martin Olsson,Swansea,29,LB,5.0,Sweden
Tom Carroll,Swansea,25,CM,6.0,England
Ki Sung-yueng,Swansea,28,DM,7.0,South Korea
Jordan Ayew,Swansea,25,CF,7.5,Ghana
Modou Barrow,Swansea,24,RW,3.0,The Gambia
Leon Britton,Swansea,34,CM,1.0,England
Stephen Kingsley,Swansea,22,LB,0.75,Scotland
Ã€ngel Rangel,Swansea,34,RB,1.0,Spain
Luciano Narsingh,Swansea,26,RW,5.0,Netherlands
Jay Fulton,Swansea,23,CM,0.5,Scotland
Jefferson Montero,Swansea,27,LW,4.5,Ecuador
Mike van der Hoorn,Swansea,24,CB,2.0,Netherlands
Nathan Dyer,Swansea,29,RW,3.5,England
Oliver McBurnie,Swansea,21,CF,0.25,Scotland
Kristoffer Nordfeldt,Swansea,28,GK,1.5,Sweden
Roque Mesa,Swansea,28,CM,12.0,Spain
Tammy Abraham,Swansea,19,CF,8.0,England
Dele Alli,Tottenham,21,CM,45.0,England
Harry Kane,Tottenham,23,CF,60.0,England
Christian Eriksen,Tottenham,25,AM,40.0,Denmark
Son Heung-min,Tottenham,25,LW,30.0,South Korea
Hugo Lloris,Tottenham,30,GK,24.0,France
Jan Vertonghen,Tottenham,30,CB,28.0,Belgium
Toby Alderweireld,Tottenham,28,CB,35.0,Belgium
